latitude,longitude,elevation (ft),velocity (mph),distance (miles),date,time,elapsed_time (seconds)
30.282905,-97.766045,406.82416,63.8836209843832,16.314742253993188,2015-02-11,14:58:20,2176.0
30.28264666666667,-97.76614000000001,406.82416,67.41900056669539,16.333469754150602,2015-02-11,14:58:21,2177.0
30.28242,-97.766245,406.82416,60.72383793780577,16.350337486911105,2015-02-11,14:58:22,2178.0
30.282173333333333,-97.76635,403.54332,65.36884311210736,16.36849549888669,2015-02-11,14:58:23,2179.0
30.281945,-97.76647,403.54332,62.37003939056724,16.385820509828516,2015-02-11,14:58:24,2180.0
30.281691666666667,-97.76657,400.26248,66.57350225140155,16.404313149342794,2015-02-11,14:58:25,2181.0
30.281445,-97.766705,403.54332,67.86227045915015,16.42316378002589,2015-02-11,14:58:26,2182.0
30.281221666666667,-97.76684,403.54332,62.664094231747356,16.440570472868043,2015-02-11,14:58:27,2183.0
30.280995,-97.766965,403.54332,62.44707091583675,16.457916881455777,2015-02-11,14:58:28,2184.0
30.280755,-97.767085,400.26248,65.02373695064084,16.475979030608734,2015-02-11,14:58:29,2185.0
30.280526666666667,-97.76724666666667,390.41996,66.5697641711692,16.494470631767392,2015-02-11,14:58:30,2186.0
30.280286666666665,-97.76738,390.41996,66.21133404776013,16.51286266900288,2015-02-11,14:58:31,2187.0
30.280065,-97.767495,383.85828,60.417089717906386,16.529645193924523,2015-02-11,14:58:32,2188.0
30.279836666666668,-97.76762,383.85828,62.8217433665306,16.547095678193003,2015-02-11,14:58:33,2189.0
30.279595,-97.76776,383.85828,67.21381505861234,16.56576618237595,2015-02-11,14:58:34,2190.0
30.27937,-97.76789666666667,383.85828,63.19764206124538,16.58332108294852,2015-02-11,14:58:35,2191.0
30.279148333333332,-97.76802166666667,383.85828,61.326771145629046,16.60035629715564,2015-02-11,14:58:36,2192.0
30.278945,-97.768175,380.57744,60.35543028310949,16.617121694456504,2015-02-11,14:58:37,2193.0
30.278725,-97.76833166666667,380.57744,64.24161920249801,16.63496658867942,2015-02-11,14:58:38,2194.0
30.278531666666666,-97.768455,383.85828,54.9035678724534,16.6502175797551,2015-02-11,14:58:39,2195.0
30.278321666666667,-97.76856166666667,390.41996,57.03886007112515,16.666061707552636,2015-02-11,14:58:40,2196.0
30.27811,-97.76869166666667,393.7008,59.59628183479318,16.682616230284523,2015-02-11,14:58:41,2197.0
30.27793,-97.76886,390.41996,57.55036245830378,16.698602442078496,2015-02-11,14:58:42,2198.0
30.2777,-97.768995,387.13912,64.13916609978381,16.716418877106214,2015-02-11,14:58:43,2199.0
30.27752,-97.76912666666666,387.13912,52.95748054048545,16.73112928836746,2015-02-11,14:58:44,2200.0
30.27732,-97.769265,383.85828,57.946201940049704,16.747225455573027,2015-02-11,14:58:45,2201.0
30.277093333333333,-97.769405,383.85828,63.899212620723524,16.76497523685656,2015-02-11,14:58:46,2202.0
30.276895,-97.769565,383.85828,60.124495983481886,16.78167648574086,2015-02-11,14:58:47,2203.0
30.276661666666666,-97.769705,380.57744,65.36704559773975,16.7998339984069,2015-02-11,14:58:48,2204.0
30.27646,-97.769845,380.57744,58.48590580637911,16.816080083353118,2015-02-11,14:58:49,2205.0
30.27625,-97.770025,380.57744,64.98832856016205,16.83413239684205,2015-02-11,14:58:50,2206.0
30.27602,-97.770175,380.57744,65.65914845540549,16.852371049190776,2015-02-11,14:58:51,2207.0
30.27579,-97.77034166666667,377.2966,67.48824755361576,16.871117784622335,2015-02-11,14:58:52,2208.0
30.27553,-97.770525,377.2966,75.71871838678537,16.892150761952,2015-02-11,14:58:53,2209.0
30.27531,-97.77066166666667,370.73492,62.09954505157418,16.909400635577438,2015-02-11,14:58:54,2210.0
30.275075,-97.770875,367.45408,74.27528620827873,16.93003265952418,2015-02-11,14:58:55,2211.0
30.274825,-97.771075,367.45408,75.58189631443219,16.951027630722635,2015-02-11,14:58:56,2212.0
30.274555,-97.771235,360.8924,75.44265525581538,16.97198392384925,2015-02-11,14:58:57,2213.0
30.27431,-97.77141333333333,351.04988,71.98094035615374,16.991978629503738,2015-02-11,14:58:58,2214.0
30.27403,-97.77152,347.76904,73.31850880943277,17.012344881950803,2015-02-11,14:58:59,2215.0
30.2738,-97.77169,347.76904,67.87120780513708,17.03119799523001,2015-02-11,14:59:00,2216.0
30.273566666666667,-97.77189,351.04988,72.20994975268768,17.051256314605755,2015-02-11,14:59:01,2217.0
30.27337,-97.77212,351.04988,69.52760621822297,17.07056953855526,2015-02-11,14:59:02,2218.0
30.273158333333335,-97.77232,354.33072,67.95415167544958,17.089445691798442,2015-02-11,14:59:03,2219.0
30.272925,-97.77247,357.61156,66.38330626873503,17.107885499095314,2015-02-11,14:59:04,2220.0
30.272675,-97.772625,360.8924,70.53733435559587,17.12747920308298,2015-02-11,14:59:05,2221.0
30.27244,-97.772805,364.17324,70.0849315597242,17.146947239627348,2015-02-11,14:59:06,2222.0
30.2722,-97.77299,357.61156,71.71515240136652,17.166868115294395,2015-02-11,14:59:07,2223.0
30.272005,-97.77315,364.17324,59.44707622493163,17.183381192023543,2015-02-11,14:59:08,2224.0
30.271786666666667,-97.773345,367.45408,68.58598169629391,17.202432853605846,2015-02-11,14:59:09,2225.0
30.271596666666667,-97.773555,367.45408,65.33447079994033,17.220581317716942,2015-02-11,14:59:10,2226.0
30.271425,-97.77377,367.45408,62.90019479457122,17.23805359404877,2015-02-11,14:59:11,2227.0
30.271251666666668,-97.77398166666667,364.17324,62.66087019720597,17.25545939132577,2015-02-11,14:59:12,2228.0
30.271055,-97.774205,357.61156,68.51812816006249,17.274492204703563,2015-02-11,14:59:13,2229.0
30.27084,-97.77443333333333,354.33072,72.56655464405111,17.29464958099358,2015-02-11,14:59:14,2230.0
30.27063,-97.77466666666666,354.33072,72.39453095417953,17.314759172925296,2015-02-11,14:59:15,2231.0
30.270425,-97.774885,357.61156,69.2816221750047,17.334004067973908,2015-02-11,14:59:16,2232.0
30.270245,-97.775125,357.61156,68.2842533750258,17.352971916133637,2015-02-11,14:59:17,2233.0
30.270061666666667,-97.77537,357.61156,69.63900511691898,17.37231608422167,2015-02-11,14:59:18,2234.0
